question,answer
"After checking out a specific commit, you receive a warning message indicating You are in 'detached HEAD' state. What is Git warning you of?<br><ol><li>You are not working on the most recent commit of a branch.</li><li>A teammate has flagged the code with an issue.</li><li>The commit does not have a parent.</li><li>The branch has not been pushed to the remote repository.</li></ol>",You are not working on the most recent commit of a branch.<br><br>[reference here](https://www.git-tower.com/learn/git/faq/detached-head-when-checkout-commit)<br>
"After accidentally deleting a branch in your local repository, how can you recover it?<br><ol><li>It cannot be recovered.</li><li>Find the hash of the branch with the `log` command, then execute `git checkout -b <branchname> <hash>`.</li><li>Find the hash of the branch with the `reflog` command, then execute `git checkout -b <branchname> <hash>`.</li><li>Execute `git checkout -b <branchname>`.</li></ol>","Find the hash of the branch with the `reflog` command, then execute `git checkout -b <branchname> <hash>`.<br><br>[Reference](https://stackoverflow.com/questions/1992364/git-recover-deleted-remote-branch)<br>"
"How would you display a histogram showing inserts, deletion, and modifications per file for a specific commit along with its general commit information?<br><ol><li>Use `git stat`.</li><li>Use `git debug --prettyprint`.</li><li>Query the remote repository with the commit hash.</li><li>Use `git show <commit> --stat`.</li></ol>",Use `git show <commit> --stat`.<br><br>[Reference](https://git-scm.com/docs/git-show#Documentation/git-show.txt---statltwidthgtltname-widthgtltcountgt)<br>
"What features do repository managers such as GitHub provide beyond Git?<br><ol><li>Repository managers are proprietary versions of Git that do not include enhanced features.</li><li>Repository managers provide an enhanced command-line tool that is used to manage multiple local repositories.</li><li>Repository managers provide an online service for hosting Git repositories that include collaboration features such as pull requests, issue tracking, and peer reviews.</li><li>Repository managers distribute repositories across multiple locations on a user's workstation, providing redundant storage that allows for quick backup and recovery.</li></ol>","Repository managers provide an online service for hosting Git repositories that include collaboration features such as pull requests, issue tracking, and peer reviews.<br><br>[reference](https://www.theserverside.com/video/Git-vs-GitHub-What-is-the-difference-between-them)<br>"
What command finds the HEAD of the current branch?<br><ol><li>`git head --verify`</li><li>`git log --head`</li><li>`git hash --head`</li><li>`git show-ref --head`</li></ol>,`git show-ref --head`<br><br>[reference](https://git-scm.com/docs/git-show-ref)<br>
"When Git Workflows contain a long-running branch, what purpose does the long-running branch serve?<br><ol><li>Long-running branches store unstable code until it os peer reviewed for integration into a feature branch.</li><li>Long-running branches correspond to agile sprints and are used to store related to features developed in the sprint.</li><li>Long-running branches contain code related to expiremental feature development that is merged into short-lived branches such as master.</li><li>Long-running branches correspond to different stages of development and are allways open for topic/feature branches to be pulled into.</li></ol>",Long-running branches correspond to different stages of development and are allways open for topic/feature branches to be pulled into.
What command takes changes from the master branch on the remote repository orgin and merges then to the local checked-out branch?<br><ol><li>`git commit -u origin`</li><li>`git checkout origin`</li><li>`git pull origin master`</li><li>`git push origin master`</li></ol>,`git pull origin master`
"While pushing changes to a remote repository, you receive the following message. How do you resolve this issue?<br><br>```bash<br>error: failed to push some refs to 'https://github.com/myrepo/simple.git'<br>hint: Updates were rejected because the remote contains work that you do not hint: not have locally.<br>```<br><br><ol><li>Use the --atomic option with the push command.</li><li>Execute a pull, then resolve any merge conflicts and execute another push.</li><li>Execute a fetch, then execute another push.</li><li>Use the --force option with the push command.</li></ol>","Execute a pull, then resolve any merge conflicts and execute another push."
What does the -p option add to the output of the `git log` command?<br><ol><li>It adds patch output that shows the differences introduced in each commit.</li><li>It adds patch output that shows a summary listing modified files.</li><li>It adds padding to the output and displays a histogram showing the number of lines changed in each commit.</li><li>It adds the full commit message and notes associated with each commit.</li></ol>,It adds patch output that shows a summary listing modified files.
What is the staging area or index?<br><ol><li>an area that stores commits prior to them being pushed to the remote repository</li><li>an area containing stash entries that can applied to the working files</li><li>an area where changes from a branch in the remote repository are stored before they are applied to a local branch</li><li>an area that stores information about changes that will be included in the next commit</li></ol>,an area that stores information about changes that will be included in the next commit
What command would you use to stage changes to the index strictly for properties files in the current directory?<br><ol><li>`git add *.properties`</li><li>`git add %.properties`</li><li>`git add .properties`</li><li>`git add properties`</li></ol>,`git add *.properties`
What are untracked files?<br><ol><li>files in the local repository that have not been merged into the master branch</li><li>staged files that Git does not know about because the have not been committed</li><li>files in the working directory that Git does not know about because the have not been staged or committed</li><li>files in the remote repository that Git does not know about because they have not been tagged</li></ol>,files in the working directory that Git does not know about because the have not been staged or committed
What command takes changes from the master branch on the remote repository origin and merges them to the local checked-out branch?<br><ol><li>git checkout origin</li><li>git commit -u origin</li><li>git pull origin master</li><li>git push origin master</li></ol>,git pull origin master
What type of Git hook could be used to validate that a commit message contains a ticket number?<br><ol><li>pre-commit</li><li>commit-msg</li><li>applypatch-msg</li><li>prepare-commit-msg</li></ol>,commit-msg
"What is the difference between git stash pop and git stash apply?<br><ol><li>git stash pop pushes the topmost commit to the current branch, while git stash apply caches the last commit in the current branch.</li><li>git stash pop applies the topmost entry in the stash to the working files and removes it from the stash, while git stash apply applies the topmost entry in the stash to the working files but leaves it in the stash.</li><li>git stash pop merges the topmost commit to the current branch, while git stash apply merges the last commit in the current branch.</li><li>git stash pop applies the topmost entry in the stash to the working files but leaves it in the stash, while git stash apply applies the topmost entry in the stash to the working files and removes it from the stash.</li></ol>","git stash pop applies the topmost entry in the stash to the working files and removes it from the stash, while git stash apply applies the topmost entry in the stash to the working files but leaves it in the stash."
"After making some major changes to your code, you are a little nervous about committing. What command would you use to review the commit prior to making it?<br><ol><li>git commit --verify</li><li>git notes show</li><li>git commit preview</li><li>git commit --dry-run</li></ol>",git commit --dry-run
What statement best describes Git's concept of HEAD?<br><ol><li>a pointer to the most recently changed file in the stage/index</li><li>a pointer to the master branch</li><li>a pointer to the most recent commit in the currently checked-out branch</li><li>a pointer to where the repository is stored in memory</li></ol>,a pointer to the most recent commit in the currently checked-out branch
"After staging changes to several files, you realize the changes to the confin.properties file are incorrect, and need to be removed from the stage and working directory. What command can you use to remove the staged changes to the file?<br><ol><li>git reset HEAD^ -- config.properties</li><li>git rm config.properties</li><li>git rf config.properties</li><li>git checkout HEAD -- config.properties</li></ol>",git rm config.properties
"After a recent release with a stack trace, an issue is create that indicates the problem is with a newly added configuration property named MaxConnections. What command can find all commits that add or remove the string MaxConnections?<br><ol><li>- git grep -a ""MaxConnections""</li><li>- git log --search-string ""MaxConnections""</li><li>- git log -S ""MaxConnections""</li><li>- git commit --with ""MaxConnections""</li></ol>","- git log -S ""MaxConnections"""
"Your company has moved its remote repository to GitHub at this location: https://github.com/yourcompany/core-api.git. What command updates the remote repository, named origin, to point to the new remote repository at this location?<br><ol><li>- git remote create-update origin https://github.com/yourcompany/core-api.git</li><li>- git remote update origin https://github.com/yourcompany/core-api.git</li><li>- git remote set-url origin https://github.com/yourcompany/core-api.git</li><li>- git remote add https://github.com/yourcompany/core-api.git</li></ol>",- git remote set-url origin https://github.com/yourcompany/core-api.git
